job_id,machine_type,product_type,material_type,quantity,operator_experience_years,setup_complexity,machine_age_years,ambient_temperature_c,shift,day_of_week,production_time_min,energy_kwh
J00001,Welding,E,Plastic,30,6,2,3,27.6,Evening,Fri,77.9,14.63
J00002,Press,E,Aluminum,303,1,4,5,26.4,Evening,Sat,444.6,74.14
J00003,Assembly,D,Steel,179,15,4,3,28.6,Morning,Wed,293.4,20.53
J00004,Assembly,A,Plastic,325,13,2,10,27.6,Morning,Mon,372.1,20.27
J00005,Welding,D,Plastic,273,14,3,1,31.3,Evening,Thu,510.5,89.02
J00006,Lathe,D,Aluminum,227,11,2,10,20.2,Morning,Tue,441.8,39.88
J00007,Welding,A,Aluminum,347,14,5,8,22.6,Morning,Fri,863.2,156.74
J00008,Assembly,A,Steel,145,7,3,3,28.5,Night,Mon,298.3,20.7
J00009,CNC,C,Steel,50,11,1,8,24.4,Night,Tue,149.1,23.33
J00010,Assembly,C,Composite,44,0,3,5,23.5,Evening,Wed,97.7,6.82
J00011,Press,A,Plastic,389,12,3,7,38.5,Morning,Tue,370.3,51.06
J00012,Assembly,C,Steel,196,2,4,2,29.7,Morning,Sun,348.3,24.04
J00013,Assembly,D,Composite,295,13,3,10,26.7,Morning,Thu,455.0,28.66
J00014,Press,A,Composite,368,5,3,9,29.8,Morning,Wed,567.4,92.2
J00015,Lathe,D,Composite,169,15,1,4,29.0,Night,Sat,327.2,27.73
J00016,CNC,A,Plastic,229,5,5,1,27.9,Evening,Tue,490.7,60.21
J00017,Assembly,D,Aluminum,333,6,3,8,31.2,Night,Sun,549.1,35.19
J00018,Press,A,Steel,473,12,3,4,22.4,Morning,Sat,570.0,94.44
J00019,Lathe,C,Plastic,317,8,1,8,30.5,Morning,Sun,491.7,37.98
J00020,CNC,B,Plastic,108,6,4,10,24.5,Evening,Tue,252.2,30.72
J00021,CNC,B,Steel,462,4,3,7,23.1,Morning,Thu,1263.7,181.52
J00022,CNC,D,Plastic,431,7,4,3,29.2,Night,Thu,881.0,102.05
J00023,CNC,E,Aluminum,203,5,3,9,22.7,Morning,Tue,520.1,71.46
J00024,Press,A,Composite,452,2,5,3,25.1,Evening,Thu,647.9,109.22
J00025,Lathe,E,Aluminum,457,0,5,3,33.9,Evening,Sun,1025.9,82.1
J00026,Press,D,Steel,311,4,3,1,27.0,Night,Fri,462.7,77.59
J00027,CNC,C,Composite,232,5,2,3,24.5,Morning,Tue,593.0,80.88
J00028,Lathe,B,Steel,308,5,5,10,23.4,Night,Mon,865.0,83.06
J00029,CNC,E,Composite,45,12,4,1,27.3,Evening,Mon,127.4,18.33
J00030,Press,A,Aluminum,159,9,2,6,26.4,Evening,Fri,200.9,29.94
J00031,Assembly,A,Composite,117,4,4,6,28.2,Evening,Thu,224.6,15.8
J00032,Welding,E,Aluminum,156,0,3,10,30.5,Evening,Sat,510.5,104.41
J00033,Lathe,B,Steel,127,15,1,8,28.7,Morning,Sat,271.7,28.34
J00034,Assembly,E,Plastic,153,2,5,6,28.9,Morning,Tue,238.3,13.73
J00035,Welding,B,Aluminum,109,0,5,7,26.7,Evening,Sun,388.6,84.56
J00036,Assembly,D,Composite,267,0,4,4,28.3,Morning,Sun,441.4,29.55
J00037,Welding,A,Steel,110,11,3,1,29.1,Night,Wed,347.3,72.58
J00038,Lathe,B,Aluminum,114,6,4,10,26.0,Morning,Wed,272.3,25.45
J00039,Assembly,D,Steel,173,9,5,9,35.5,Night,Mon,417.0,27.01
J00040,CNC,E,Composite,288,8,3,9,29.5,Morning,Fri,786.9,97.06
J00041,Welding,A,Aluminum,186,3,4,9,26.4,Morning,Wed,614.1,117.85
J00042,Welding,C,Aluminum,78,2,4,9,29.1,Evening,Fri,254.5,50.35
J00043,Assembly,A,Plastic,195,6,2,5,29.3,Morning,Tue,266.1,15.34
J00044,CNC,E,Aluminum,177,9,1,2,30.0,Morning,Fri,348.7,46.01
J00045,Assembly,A,Aluminum,336,8,5,4,33.3,Night,Sun,535.0,29.44
J00046,Press,B,Aluminum,460,12,5,2,26.6,Morning,Sat,482.6,75.53
